Year    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov   Dec
1948   0.26   0.43   0.72   0.21   0.24   0.41   0.08   0.25   0.45  -0.64  -0.21   0.58
1949   0.18   0.13  -0.55   0.15   0.43   0.00  -0.06   0.08  -0.42  -0.59  -0.29  -0.91
1950  -0.74  -1.70  -1.43  -1.29  -1.22  -1.69  -1.69  -0.96  -0.95  -1.27  -1.12  -1.61
1951  -1.13  -0.69  -0.24   0.33   0.71   0.19   1.33   1.01   1.10   1.15   0.91   0.83
1952   0.64   0.56   0.07   0.71  -0.50  -0.74  -0.54  -0.12  -0.03  -0.06  -0.02   0.41
1953   0.18   0.51   0.50   0.81   1.78   0.62   0.36   0.90   1.19   0.16   0.37   0.41
1954   0.00   0.40   0.17  -0.31  -0.34  -0.44  -0.81  -1.16  -0.68  -0.57  -0.67  -0.96
1955  -0.01  -1.14  -0.58  -0.40  -1.30  -1.49  -1.72  -1.27  -1.46  -1.64  -1.65  -1.15
1956  -1.10  -1.14  -0.98  -0.95  -1.04  -1.06  -1.13  -1.06  -0.56  -1.30  -0.56  -0.70
1957  -0.44   0.04   0.24   0.43   1.10   0.68   0.65   1.08   0.94   0.50   1.20   0.86
1958   1.67   1.24   0.87   0.35   1.16   0.46   0.10  -0.13   0.05   0.26   0.36   0.59
1959   0.68   1.07  -0.09   0.20   0.08   0.13   0.17   0.03  -0.26  -0.08  -0.50  -0.34
1960   0.07  -0.02  -0.21  -0.19   0.07   0.07  -0.25  -0.22  -0.18   0.07  -0.47  -0.23
1961   0.15  -0.27   0.95  -0.23   0.05   0.36  -0.16  -0.08  -0.30  -0.06  -0.41  -0.70
1962  -0.83   0.11  -0.13  -0.28  -0.76  -0.21  -0.05  -0.20  -0.53  -0.63  -0.33  -0.15
1963  -0.47  -0.29  -0.27  -0.14   0.09   0.63   0.81   0.88   0.83   1.19   0.86   1.21
1964   0.67   0.40  -0.36  -1.00  -0.45  -0.91  -0.64  -1.13  -1.15  -1.17  -0.52  -0.27
1965  -0.03  -0.22  -0.30   0.52   0.31   1.03   1.90   1.55   1.63   1.54   1.91   0.79
1966   1.22   0.78   1.31   0.89   0.43   0.18   0.44  -0.13   0.18   0.14  -0.07   0.20
1967  -0.91  -0.95  -0.55  -0.29   0.15  -0.23   0.02  -0.40  -0.50  -0.12   0.14   0.24
1968  -0.47  -0.82  -0.27  -0.19  -0.81  -0.16   0.08   0.35   0.30   0.37   0.65   0.39
1969   1.11   1.06   0.48   0.71   0.87   0.40   0.59   0.72   0.94   1.04   0.50   0.29
1970   0.87   0.83   0.20   0.46   0.15  -0.51  -0.36  -0.81  -0.98  -0.71  -1.31  -1.36
1971  -0.83  -1.50  -1.66  -1.69  -1.00  -0.67  -0.42  -1.10  -1.13  -1.26  -0.69  -0.47
1972  -0.41  -0.47  -0.20   0.44   1.56   1.23   1.70   1.47   1.60   1.59   1.18   1.84
1973   1.06   1.39   0.46   0.17  -0.45  -1.07  -1.05  -1.40  -1.46  -1.33  -2.46  -1.89
1974  -1.96  -1.66  -1.82  -1.23  -1.18  -0.58  -0.93  -0.47  -0.70  -0.78  -0.26  -0.43
1975   0.11  -0.43  -0.84  -0.95  -0.96  -1.58  -1.83  -1.76  -1.90  -1.66  -1.36  -1.74
1976  -1.42  -1.24  -0.97  -0.35  -0.57   0.14   0.86   0.89   1.08   0.45   0.11   0.60
1977   0.65  -0.01   0.78   0.33   0.72   1.20   1.23   0.85   0.86   1.20   1.33   1.18
1978   0.63   1.64   0.40   0.11  -1.00  -0.43  -0.45  -0.48  -0.34   0.16   0.07   0.18
1979   0.26  -0.25   0.32   0.47  -0.18  -0.08  -0.66   0.48   0.37   0.37   0.50   0.81
