Year    Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1948   20.770   21.876   23.075   24.414   25.796   27.052   27.497   27.555   26.746   25.165   23.926   22.649
1949   22.347   22.551   22.838   24.041   25.664   26.677   27.497   27.594   26.909   25.864   23.464   22.415
1950   22.478   21.978   22.291   23.452   25.485   26.598   27.226   27.439   26.928   25.762   23.070   21.419
1951   21.180   21.223   22.226   23.536   25.540   26.964   27.802   28.304   27.419   26.081   23.547   22.662
1952   22.304   22.042   22.807   23.924   25.615   27.374   27.713   28.050   27.160   25.120   23.535   21.871
1953   21.552   21.695   23.167   24.261   26.185   27.379   27.716   27.868   27.287   25.834   23.638   22.128
1954   21.876   22.069   22.642   24.563   25.327   26.846   27.625   27.924   27.288   25.443   23.163   21.712
1955   21.210   21.467   22.775   24.270   25.626   26.373   27.293   27.579   27.125   25.318   23.449   21.930
1956   20.835   21.809   22.522   23.806   25.659   26.416   27.321   27.689   26.891   25.704   23.390   22.758
1957   21.857   22.530   22.749   24.215   25.891   27.074   27.860   27.922   27.328   25.429   23.982   22.407
1958   21.010   20.675   22.260   24.172   25.787   27.245   27.944   28.190   27.588   25.933   24.391   22.236
1959   21.491   22.219   22.705   24.182   25.943   26.871   27.551   27.726   27.340   26.090   23.488   22.399
1960   21.622   21.236   21.752   24.218   25.641   27.064   27.805   27.751   27.214   26.047   24.073   21.759
1961   20.927   21.979   23.057   23.821   25.546   26.583   27.362   27.559   27.078   25.509   23.836   22.345
1962   21.398   22.561   22.499   23.873   26.086   26.777   27.849   28.092   27.292   25.939   23.395   21.755
1963   20.876   21.027   23.062   24.625   25.875   27.094   27.557   27.918   27.212   25.863   23.733   21.120
1964   21.124   21.051   22.534   24.291   25.804   27.048   27.452   27.546   26.927   24.911   23.714   22.030
1965   21.157   21.244   21.947   24.175   25.527   26.502   27.237   27.470   27.078   25.411   24.227   22.418
1966   20.858   21.175   22.135   23.820   25.290   26.653   27.684   27.564   27.078   25.463   23.732   21.792
1967   21.359   21.187   22.885   24.330   25.540   26.687   27.187   27.298   26.535   25.314   23.378   22.221
1968   20.965   20.366   21.866   23.925   25.234   26.760   27.420   27.921   27.107   25.743   23.519   21.831
1969   21.343   21.444   21.797   24.397   25.926   27.491   28.190   27.992   27.276   25.873   23.483   21.887
1970   20.613   21.013   22.267   24.330   25.494   26.684   27.482   27.686   27.264   25.553   23.186   22.315
1971   21.343   21.368   22.046   23.584   25.062   26.641   27.284   27.295   26.913   25.801   23.554   22.922
1972   21.876   21.602   22.864   24.289   25.479   26.684   27.403   27.707   27.449   25.942   23.833   22.730
1973   21.503   21.319   23.314   23.764   25.497   26.855   27.630   27.504   27.141   25.744   24.134   21.762
1974   22.088   21.457   23.094   24.081   25.573   26.507   27.350   27.400   26.604   25.111   23.348   21.908
1975   21.553   21.824   22.595   24.107   25.750   26.755   27.114   27.414   26.508   25.378   23.509   21.495
1976   20.392   21.423   22.663   23.785   24.918   26.261   27.083   27.392   26.753   24.944   22.743   21.618
1977   20.085   21.138   22.879   24.066   25.491   26.997   27.761   27.708   27.336   25.442   24.029   22.034
1978   20.224   20.051   22.027   24.115   25.784   26.819   27.555   27.690   27.173   25.499   24.343   22.396
