Year    Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1948   25.328   25.327   25.816   26.061   26.968   27.694   28.075   28.266   28.088   27.680   27.006   26.054
1949   25.702   25.557   25.662   26.150   26.828   27.390   28.039   28.358   28.376   27.914   26.885   26.004
1950   25.190   24.964   25.257   25.704   26.660   27.335   28.043   28.358   28.389   27.774   26.711   25.610
1951   24.863   24.575   24.833   25.766   26.981   27.894   28.421   28.759   28.686   28.176   27.300   26.309
1952   25.484   25.318   25.900   26.276   27.088   27.927   28.306   28.681   28.645   28.041   27.035   25.821
1953   25.056   25.180   25.615   26.597   27.410   27.862   28.314   28.653   28.568   28.022   27.104   26.282
1954   25.690   25.343   25.663   26.396   27.169   27.654   28.042   28.321   28.235   27.496   26.535   25.626
1955   25.064   24.879   25.315   25.942   26.747   27.419   27.978   28.419   28.338   27.826   27.077   26.017
1956   25.029   24.970   25.434   26.165   26.868   27.239   27.841   28.222   28.199   27.821   26.810   26.050
1957   25.533   25.410   25.748   26.255   27.259   27.997   28.562   28.748   28.731   28.176   27.348   26.235
1958   25.398   25.085   25.702   26.542   27.342   28.253   28.716   29.025   29.002   28.472   27.652   26.743
1959   25.932   25.908   25.995   26.553   27.249   27.821   28.362   28.490   28.649   28.370   27.374   26.524
1960   25.884   25.610   25.839   26.547   27.453   28.032   28.440   28.637   28.568   28.353   27.511   26.350
1961   25.708   25.634   25.943   26.491   27.233   27.720   28.264   28.512   28.500   27.984   27.163   26.283
1962   25.802   25.732   25.892   26.248   27.217   27.830   28.482   28.760   28.684   28.184   26.955   26.083
1963   25.625   25.454   25.901   26.526   27.193   27.888   28.219   28.528   28.495   27.936   27.115   26.124
1964   25.537   25.460   25.786   26.326   27.112   27.809   28.057   28.229   28.160   27.564   26.764   25.776
1965   25.006   24.964   25.187   25.971   26.613   27.306   27.717   28.102   28.173   27.875   27.146   26.244
1966   25.322   25.111   25.279   26.029   26.826   27.605   28.184   28.440   28.502   28.072   26.978   25.864
